Country.Region,Province.State,Population,Density,Source,Level
China,Guizhou,35806468,,WorldAtlas,Province.State
China,Chongqing,28846170,,WorldAtlas,Province.State
China,Jilin,27462297,,WorldAtlas,Province.State
China,Gansu,25575254,,WorldAtlas,Province.State
China,Inner Mongolia,24706321,,WorldAtlas,Province.State
China,Xinjiang,21813334,,WorldAtlas,Province.State
China,Shanghai,23019148,,WorldAtlas,Province.State
China,Beijing,19612368,,WorldAtlas,Province.State
China,Tianjin,12938224,,WorldAtlas,Province.State
China,Hainan,9261518,,WorldAtlas,Province.State
China,Hong Kong,7061200,,WorldAtlas,Province.State
China,Ningxia,6176900,,WorldAtlas,Province.State
China,Qinghai,5626722,,WorldAtlas,Province.State
China,Tibet,3002166,,WorldAtlas,Province.State
China,Macau,552503,,WorldAtlas,Province.State
Macau,None,552503,,WorldAtlas,Country.Region
Hong Kong,None,7061200,,WorldAtlas,Country.Region
Palestine,None,5052000,,Google,Country.Region
